FoodID,FoodName,Description,YelpID,Price,Rating,Total
139,dry fried green beans,smoked pork shoulder | pickled sour mustard greens | sesame,rosebud-american-kitchen-and-bar-somerville-10,9.95,3,1
140,"bbq ""it's not a ramen"" pork noodle soup",noodles | house char siu | pepper threads | soft pullet egg,rosebud-american-kitchen-and-bar-somerville-11,12.95,5,1
141,wedge salad,cherry tomatoes | pig candy | blue cheese dressing | red onion | ciabatta croutons,rosebud-american-kitchen-and-bar-somerville-12,9.95,5,1
142,fried brussels sprouts,competition rub | tabasco bbq sauce,rosebud-american-kitchen-and-bar-somerville-13,8.95,2,1
143,state fair chili,jack & cheddar | sour cream | scallions,rosebud-american-kitchen-and-bar-somerville-14,9.95,1,1
144,lyonnaise salad,poached egg | bacon | frisee | green beans | tomatoes | red onion | sour dough croutons | dijon vinaigrette,rosebud-american-kitchen-and-bar-somerville-15,9.95,5,1
145,mediterranean mezze board,yellow lentil & carrot hummus | black bean & tahini puree | roasted beet & horseradish hummus | smoked eggplant baba ganoush | marinated olives | grilled flatbread,rosebud-american-kitchen-and-bar-somerville-16,15.95,4,1
146,bbq pork flatbread,pulled pork | monterey-cheddar blend | pineapple | shs,rosebud-american-kitchen-and-bar-somerville-17,13.95,3,1
147,st louis ribs (while they last),1/2 rack | house sweet heat sauce | creamy slaw | pasta salad,rosebud-american-kitchen-and-bar-somerville-18,17.95,2,1
148,grilled hanger steak,chicory & potato hash | crumbled blue cheese butter | balsamic,rosebud-american-kitchen-and-bar-somerville-19,24.95,5,1
149,smoked bone in pork chop,house rub | gorgonzola grits | country greens | dried fruit mostarda,rosebud-american-kitchen-and-bar-somerville-20,18.95,2,1
150,bbq baconator meatloaf fatty,buttery smashed potato | poblano-onion gravy,rosebud-american-kitchen-and-bar-somerville-21,16.95,5,1
151,grilled swordfish,butternut squash & mushroom risotto,rosebud-american-kitchen-and-bar-somerville-22,23.95,5,1
152,asian bbq hog head,gochujang bbq | kimchi | ginger scallion relish | biscuits (serves 2-4),rosebud-american-kitchen-and-bar-somerville-23,23.95,5,1
153,smoked chicken,1/2 chicken | special soy | cucumbers | ginger-garlic chili sauce,rosebud-american-kitchen-and-bar-somerville-24,18.95,4,1
154,grilled cauliflower,sweet chili buffalo sauce | cauliflower pur‹©e | blue cheese,rosebud-american-kitchen-and-bar-somerville-25,14.95,3,1
155,heirloom squash - blue cheese ravioli,smoked n' braised short ribs | pumpkin puree,rosebud-american-kitchen-and-bar-somerville-26,23.95,5,1
156,burgundy braised beef short rib,celery root puree | pot roasted carrots & mushrooms,rosebud-american-kitchen-and-bar-somerville-27,24.95,5,1
157,country fried steak,warm spinach | potato & bacon salad | black pepper gravy,rosebud-american-kitchen-and-bar-somerville-28,18.95,2,1
158,griddled cheese burger,house blend | yellow cheese | lettuce | tomato | shaved onion | pickles | wgs,rosebud-american-kitchen-and-bar-somerville-29,9.95,1,1
159,chicken fried catfish,swiss cheese | bbq bacon | green goddess dressing | sesame seed roll,rosebud-american-kitchen-and-bar-somerville-30,12.95,5,1
160,texas rachel in a skirt,smoked brisket | bbq onions | horseradish wonder sauce | creamy slaw | rye,rosebud-american-kitchen-and-bar-somerville-31,13.95,4,1
161,"""it mush brie love"" sandwich",roasted portabello | asparagus | brie | baby arugula | tarragon aioli | ciabatta,rosebud-american-kitchen-and-bar-somerville-32,11.95,3,1
162,chicken thigh platter,creamy mashed potatoes | peppered milk gravy,rosebud-american-kitchen-and-bar-somerville-33,17.95,2,1
163,gansett fish & chips,acadian red fish | tartar,rosebud-american-kitchen-and-bar-somerville-34,18.95,5,1
164,mussels,roasted tomato & fennel broth | cous cous | chiles,foundry-on-elm-somerville,13,2,1
165,spicy popcorn shrimp,cherry peppers | roasted tomato aioli,foundry-on-elm-somerville,12,5,1
167,guinness braised bratwurst,grilled apple | mustard cream sauce,foundry-on-elm-somerville,6,5,1
168,poutine,french fries | cheddar curds | hot beef gravy,foundry-on-elm-somerville,9,4,1
169,meze plate for two or more,assorted mediterranean appetizers | grilled pita,foundry-on-elm-somerville,15,3,1
170,roasted chiogga beets salad,arugula | smoked almonds | candied bacon goat cheese fritter | cara cara orange vinaigrette,foundry-on-elm-somerville,10,5,1
171,baby lettuce salad,warm house made boursin crostini | mustard vinaigrette,foundry-on-elm-somerville,8,5,1
172,caesar salad,chopped romaine lettuce | parmesan | croutons | classic dressing,foundry-on-elm-somerville,8,2,1
173,cobb salad,baby lettuce | chicken | bacon | tomatoes | egg | bleu cheese dressing,foundry-on-elm-somerville,15,1,1
174,smoked gouda mac n‰Ûª cheese,braised cipollini onions | spinach | parmesan bread crumbs,foundry-on-elm-somerville,15,5,1
175,tagliatelle alla bolognese,fresh tagliatelle | house-made bolognese | parmesan,foundry-on-elm-somerville,18,4,1
176,blackened salmon,chorizo-sweet potato hash | cara cara orange | citrus beurre blanc,foundry-on-elm-somerville,22,3,1
177,pan-seared statler chicken,crispy mushrooms | baby kale | goat cheese polenta | sherry jus,foundry-on-elm-somerville,20,2,1
178,adobo rubbed grilled pork chop,caramelized brussels sprouts | spiced plantain puree | heirloom cherry tomato salad | queso fresco,foundry-on-elm-somerville,22,5,1
179,steak frites,8oz grilled flatiron steak | crispy shallots | red wine-mushroom cream sauce | watercress | french fries,foundry-on-elm-somerville,24,2,1
180,caramelized brussels sprouts,,foundry-on-elm-somerville,7,5,1
181,sauteed spinach,raisins | smoked almonds,foundry-on-elm-somerville,6,5,1
182,creamy goat cheese polenta,,foundry-on-elm-somerville,6,5,1
183,truffle french fries,parmesan | trufe oil,foundry-on-elm-somerville,7,4,1
184,smoky grilled cheese and tomato basil soup,smoked gouda | cheddar | smoked honey drizzle | francese bread | creamy tomato basil soup,foundry-on-elm-somerville,14,3,1
185,local usda prime burger,8 oz local usda prime | lettuce |tomato,foundry-on-elm-somerville,13,5,1
186,roasted portobello mushroom sandwich,grilled onions | swiss cheese | honey dijon mayo | lettuce | tomato | brioche,foundry-on-elm-somerville,10,5,1
187,artisanal cheese,a showcase of the market‰Ûªs best (may include unpasteurized cheeses),foundry-on-elm-somerville,14,2,1
188,charcuterie,house-made and artisanal,foundry-on-elm-somerville,13,1,1
189,french picnic plate,combination of cheese & charcuterie plates,foundry-on-elm-somerville,20,5,1
190,oysters,1/2 dozen,foundry-on-elm-somerville,15,4,1
191,asian bbq pork pizza,crispy pork belly | hoisin bbq | sriracha ranch | toasted sesame | mozzarella,foundry-on-elm-somerville,14,3,1
192,pepperoni pizza,roasted garlic | tomato sauce | mozzarella | pepperoni,foundry-on-elm-somerville,12,2,1
193,roasted mushroom pizza,mozzarella | truffle oil | parmesan,foundry-on-elm-somerville,12,5,1
194,shrimp chipotle alfredo pizza,mozzarella | black garlic | heirloom cherry tomatoes,foundry-on-elm-somerville,14,2,1
195,short rib wellington pot pie,red wine | wild mushrooms | root vegetables | puff pastry crust,saloon-somerville,23,5,1
196,baked stued mushroom,phyllo | goat cheese-stuffed portobello romesco | arugula,saloon-somerville,15,5,1
197,chicken fried rabbit leg,cheddar biscuit | kale | sour cream gravy,saloon-somerville,18,5,1
198,1/2 a bird on a board,half roasted chicken | seasonal vegetables | confit fingerlings | sherry jus,saloon-somerville,21,4,1
200,fried pickle chips,panko-crusted dill pickles | sriracha and horseradish ranch dipping sauce,saloon-somerville,7,5,1
201,portuguese pigs in a blanket,chorizo | sweet potato-corn batter | smoked honey mustard glaze,saloon-somerville,8,5,1
202,devils on horseback,feta stuffed dates wrapped in bacon,saloon-somerville,9,2,1
203,one brandt beef slider,onion aioli | bacon | cheddar | lt | b&b pickles,saloon-somerville,4,1,1
204,lamb sausage,spicy pepper | onion relish,saloon-somerville,8,5,1
205,grilled flatbread,caramelized onions | pear | gorgonzola,saloon-somerville,12,4,1
206,chips benedict,hand cut fries | pork belly | fried egg and hollandaise,saloon-somerville,9,3,1
207,wedge salad,romaine | heirloom cherry tomatoes | smoked almonds | bacon | avocado bleu cheese dressing,saloon-somerville,7,2,1
208,cheese board,selection of 3 cheeses with assorted fruits,saloon-somerville,13,5,1
209,meat board,selection of 3 cured meats with mustard and toast,saloon-somerville,14,2,1
210,duck wings,orange-molasses glaze,saloon-somerville,8,5,1
211,caprese,- fresh bufala milk mozzarella | beefsteak tomatoes & basil drizzled with extra virgin olive oil & balsamic glaze,pescatore-somerville,15,5,1
212,shrimp scampi,saut‹©ed with extra virgin olive oil | lemon & white wine,pescatore-somerville,13,5,1
213,fried calamari,- fresh tubes & tentacles over homemade shoe-string onion rings | served with fresh marinara,pescatore-somerville,11,4,1
214,cape cod littleneck clams,,pescatore-somerville,13,3,1
215,black p.e.i. mussels,saut‹©ed in white wine | garlic | extra virgin olive oil or fresh marinara  | or fra diavolo sauce,pescatore-somerville,11,5,1
216,antipasto italiano,assortment of specialty italian meats & cheese marinated vegetables over iceberg lettuce | homemade italian dressing,pescatore-somerville,20,5,1
217,arancini,imported arborio & saffron rice balls filled with meat ragu | peas & mozzarella cheese,pescatore-somerville,6,2,1
218,bruschetta,grilled artisan bread topped with fresh tomatoes extra virgin olive oil & garlic,pescatore-somerville,7,1,1
219,al pescatore,smoked salmon | goat cheese | caramelized onions,pescatore-somerville,12,5,1
220,tuna carpaccio,organic arugula over sushi-grade tuna | caper aioli dressing,pescatore-somerville,15,4,1
221,clam basket,fried full-bellied ipswich clams with homemade tartar sauce,pescatore-somerville,16,3,1
222,garden salad,iceberg | onions | cucumbers | tomatoes,pescatore-somerville,5,2,1
223,mirabella salad,mesclun greens | cherry tomatoes | goat cheese | walnuts,pescatore-somerville,10,5,1
224,caesar,romaine lettuce house-made dressing & croutons sprinkled with paprika,pescatore-somerville,9,2,1
225,arugula salad,shaved parmigiano lemon dressing,pescatore-somerville,11,5,1
227,fusilli amalfi,homemade fusilli pasta with shrimp | sea scallops | lobster meat & broccoli rabe. red | white | or fra diavolo sauce,pescatore-somerville,21,5,1
228,pappardelle tartufo,homemade wide noodle pasta | porcini mushroom black truffle oil & walnut light cream sauce topped with shaved parmigiano,pescatore-somerville,16,4,1
229,gnocchi sorrentino,homemade potato & ricotta dumplings baked in a tomato-basil sauce topped with bufala milk mozzarella,pescatore-somerville,14,3,1
230,lobster ravioli,homemade lobster & ricotta stuffed ravioli vodka & light cream tomato sauce,pescatore-somerville,16,5,1
231,risotto pescatore,imported arborio rice | orvieto white wine & tomato sauce lobster meat | p.e.i. mussels | sea scallops & shrimp,pescatore-somerville,21,5,1
232,cheese ravioli,homemade ravioli stuffed with a three cheese blend topped in a light tomato-basil sauce,pescatore-somerville,11,2,1
233,eggplant parmigiana,oven-baked eggplant with mozzarella & parmigiano topped with fresh tomato basil sauce,pescatore-somerville,12,1,1
234,fettuccine bolognese,homemade egg noodle pasta in a classic bolognese ground veal | beef & pancetta | red wine tomato sauce,pescatore-somerville,13,5,1
235,fettuccine alfredo,homemade egg noodle pasta in a classic alfredo,pescatore-somerville,11,4,1
236,linguini alle vongole,in shell cape cod littleneck clams fresh marinara | or extra virgin olive oil garlic & white wine | or fra diavolo,pescatore-somerville,16,3,1
237,grilled steak tips,prime angus beef in house marinade saut‹©ed spinach & mashed potatoes,pescatore-somerville,16,2,1
238,chicken francese,lemon-pepper parmigiano cream sauce saut‹©ed asparagus,pescatore-somerville,16,5,1
239,chicken marsala,marsala wine | mushrooms & prosciutto homemade butternut squash & ricotta-filled ravioli veal,pescatore-somerville,16,2,1
240,chicken picata,saut‹©ed in a lemon caper sauce homemade artichoke & fontina cheese-filled ravioli,pescatore-somerville,,5,1
241,chicken parmigiana,topped with parmigiano & mozzarella cheese homemade fusilli in a light marinara sauce,pescatore-somerville,16,5,1
242,veal parmigiana,topped with parmigiano & mozzarella cheese homemade fusilli in a light marinara sauce,pescatore-somerville,19,5,1
243,egg rolls,,dim-sum-cafe-medford,,4,1
244,peking ravioli,,dim-sum-cafe-medford,5.95,3,1
245,fried wonton,,dim-sum-cafe-medford,5.95,5,1
246,crab rangoon,,dim-sum-cafe-medford,6.25,5,1
247,chicken wings,,dim-sum-cafe-medford,7.95,2,1
248,fried chicken fingers,,dim-sum-cafe-medford,7.95,1,1
249,boneless spareribs,,dim-sum-cafe-medford,7.95,5,1
250,fried shrimps,,dim-sum-cafe-medford,7.95,4,1
251,chicken teriyaki,,dim-sum-cafe-medford,7.95,3,1
252,beef teriyaki,,dim-sum-cafe-medford,7.95,2,1
253,bbq spareribs,,dim-sum-cafe-medford,7.95,5,1
254,scallion pancakes,,dim-sum-cafe-medford,4.75,2,1
255,crispy fried tofu,,dim-sum-cafe-medford,5,5,1
256,vegetable ravioli,,dim-sum-cafe-medford,5.25,5,1
257,fried dough with pink sugar,,dim-sum-cafe-medford,5.25,5,1
258,vegetable tempura,,dim-sum-cafe-medford,5.75,4,1
259,wonton with spicy peanut sauce,,dim-sum-cafe-medford,6,3,1
260,edamame,,dim-sum-cafe-medford,5,5,1
261,spicy cold sesame noodles,,dim-sum-cafe-medford,6.25,5,1
262,popcorn shrimp,,dim-sum-cafe-medford,6.95,2,1
263,fried shiu mai,,dim-sum-cafe-medford,6,1,1
264,chicken wing w/ spiced salt & pepper,,dim-sum-cafe-medford,9.95,5,1
265,fish fillet w/ spiced salt & pepper,,dim-sum-cafe-medford,9.95,4,1
266,pork chop w/ spiced salt and pepper,,dim-sum-cafe-medford,10.95,3,1
267,calamari w/ spiced salt and pepper,,dim-sum-cafe-medford,11,2,1
268,peking duck,,dim-sum-cafe-medford,30,5,1
269,wonton soup,,dim-sum-cafe-medford,5.25,2,1
270,hot & sour soup,,dim-sum-cafe-medford,5.25,5,1
271,egg drop soup,,dim-sum-cafe-medford,5.25,5,1
272,miso tofu soup,,dim-sum-cafe-medford,5.25,5,1
273,general gau‰Ûªs chicken,,dim-sum-cafe-medford,,4,1
274,sesame chicken,,dim-sum-cafe-medford,9,3,1
275,sliced chicken w/ broccoli,,dim-sum-cafe-medford,9,5,1
276,sliced chicken w/ mixed vegetables,,dim-sum-cafe-medford,9,5,1
277,sweet & sour chicken,,dim-sum-cafe-medford,9,2,1
278,kung pao chicken,,dim-sum-cafe-medford,9,1,1
279,szechuan spiced chicken,,dim-sum-cafe-medford,10,5,1
280,orange flavored chicken,,dim-sum-cafe-medford,10,4,1
281,chicken w/ mushrooms,,dim-sum-cafe-medford,10,3,1
282,chicken w/ snow peas,,dim-sum-cafe-medford,10,2,1
283,chicken w/ green beans,,dim-sum-cafe-medford,10,5,1
284,chicken w/ garlic sauce,,dim-sum-cafe-medford,10,2,1
285,chicken w/ cashew nuts,,dim-sum-cafe-medford,10,5,1
286,pineapple chicken,,dim-sum-cafe-medford,10,5,1
287,thai basil chicken,,dim-sum-cafe-medford,10,5,1
288,general gau‰Ûªs beef,,dim-sum-cafe-medford,10,4,1
289,orange flavored beef,,dim-sum-cafe-medford,10,3,1
290,beef w/ ginger and scallions,,dim-sum-cafe-medford,10,5,1
291,beef w/ broccoli,,dim-sum-cafe-medford,10,5,1
292,beef w/ snow peas,,dim-sum-cafe-medford,10,2,1
293,beef w/ green beans,,dim-sum-cafe-medford,10,1,1
294,beef w/ green pepper,,dim-sum-cafe-medford,10,5,1
295,beef w/ mushrooms,,dim-sum-cafe-medford,10,4,1
